0	abstract	0.9720748936555903	4.6333854774308357E-4	1.9401358958013047E-4	6.442768710162726E-4	2.0910758743879126E-4	4.55738335986632E-4	0.0012205103180926052	4.1446345877349847E-4	2.1811579719124556E-4	0.024105541838587412
1	xxl	8.170217845948667E-4	1.417014354021735E-4	5.9334592955725093E-5	1.9703725896350188E-4	6.395074495289398E-5	1.3937708548461208E-4	0.47761720641702415	1.2675411384618815E-4	0.5206964599694907	1.4115659728525487E-4
2	xxl	3.813416226737021E-4	6.613857345095462E-5	2.769418194845276E-5	9.196634591277009E-5	2.9848752274850756E-5	6.505369250171056E-5	0.2026757515634322	0.7965651863795393	3.113461580871037E-5	6.588427245737308E-5
3	xxl	5.815373798902998E-4	1.0085983387987165E-4	4.2233003299220225E-5	1.4024660477715401E-4	4.551867448721689E-5	9.92054148833486E-5	0.864934442372845	0.13390800509794626	4.7479587395528096E-5	1.00472030596102E-4
4	xxl	0.001126579791182187	1.953901065009617E-4	8.181563160532748E-5	2.7169189150603106E-4	8.818077835060612E-5	1.9218509325145679E-4	0.927787994037161	0.06996954428843315	9.197954508712857E-5	1.9463883692215765E-4
5	xxl	0.017866700946270537	3.1458003590400656E-4	1.3172398945279358E-4	4.3742667689458496E-4	1.419719397073996E-4	3.0941993234934114E-4	0.9800553213212555	2.813966814912221E-4	1.4808799234571624E-4	3.133704843289241E-4
6	i18n	0.9947201930716861	5.714245805940391E-4	2.3927241667110995E-4	7.945715775218682E-4	2.5788749076301366E-4	5.620514174145223E-4	0.001505226793721211	5.111480779115393E-4	2.689971048988821E-4	5.692274688176602E-4
7	conditional	0.06475158968929146	1.5640379822862193E-4	6.549090824864216E-5	2.1748104108460973E-4	0.9338738679807049	1.5383828324645388E-4	4.119934558795976E-4	1.3990560356979203E-4	7.362680981443082E-5	1.558024299315122E-4
8	health	0.3846139935028734	2.5029315539143275E-4	1.048051662469392E-4	0.10252692948811656	1.1295886804860875E-4	2.461875591887612E-4	6.593135412350535E-4	2.23891077908733E-4	1.1782505769406832E-4	0.5111438025832965
9	health	0.07756826216748663	7.557622606262277E-5	3.1646006957010693E-5	1.0508949598090485E-4	3.4108023985189024E-5	7.43365378807798E-5	1.9908027113487077E-4	6.760409684784322E-5	3.557737398852289E-5	0.9218087197996757
10	cluster	0.05961281405591117	7.250054433543386E-5	3.03581278129063E-5	0.9398181134620005	3.271994956566401E-5	7.131130702269285E-5	1.909784170985767E-4	6.485285222779922E-5	3.412950228628685E-5	7.222178173899873E-5
11	instance	0.06189016842323979	0.0672264094894547	2.296601736230804E-5	0.8705077638841925	2.4752742805813494E-5	5.394722379802961E-5	1.4447576181056103E-4	4.906138281773863E-5	2.5819073788225074E-5	5.4636000730239955E-5
12	push	0.09713397586633227	1.3487452120989149E-4	5.647596154106757E-5	1.8754436670162397E-4	0.006943463764882491	0.8948698885301853	3.552817817259404E-4	1.2064733407863894E-4	6.349194095284978E-5	1.3435593239004122E-4
13	subscribe	0.04066312106862567	0.7172479338764752	3.0024880961427447E-5	9.970608966272971E-5	3.2360776554716054E-5	0.2415686465000505	1.888820112664799E-4	6.41409503296476E-5	3.375485635128258E-5	7.14289897222762E-5
14	sentinel	0.023281044889282742	3.766421303182501E-5	0.9763867192005233	5.237246380564452E-5	1.699809514712059E-5	3.704640129119535E-5	9.92137624898631E-5	3.369121796835237E-5	1.7730361289889124E-5	3.751939516992234E-5
