0	sy	0.24881138276265877	0.5640454254428009	0.15861521623895977	9.037538405100609E-4	0.0011606813208472544	0.02293984942339424	7.434432770764402E-4	6.302824035645799E-4	8.220226281665512E-4	0.0013279426620214489
1	aggregation	0.2737639479889807	3.812372072966321E-4	0.7168234837546762	0.0013657562542404493	0.0017540260434550886	5.86533503057044E-4	0.0011234943187263392	9.524851746358305E-4	0.001242243734103546	0.0020067920208282812
2	spring	6.809680433280123E-4	2.3139997586576545E-4	6.908173030363501E-4	8.28974607464947E-4	0.001064643157475509	0.9725853360620809	6.81928608390832E-4	5.781309961483858E-4	0.02143973643957584	0.001218064806633519
3	sso	4.747405765637444E-4	1.6132175222565402E-4	4.81607041559386E-4	5.779241580578053E-4	7.42221769973882E-4	2.481935410322927E-4	4.754102397237385E-4	4.030471695845089E-4	5.256594373303023E-4	0.9959098743139487
4	permission	4.097420254682981E-4	1.392345730956473E-4	4.156683764355691E-4	4.987983475178478E-4	6.406013439530146E-4	2.1421241248601366E-4	4.1032000247953984E-4	3.478644375001025E-4	0.03779382513269214	0.9591297333483718
5	menu	0.001050321327568966	3.5691003745631946E-4	0.862515514393481	0.12890082829257085	0.0016420996924935926	5.491061484525915E-4	0.001051802897786368	8.917060372109867E-4	0.0011629747810102888	0.001878736391969138
6	lb	0.05897319006002353	1.310771739803108E-4	3.9131542464478384E-4	4.69575022388835E-4	6.030701423249827E-4	0.3517263849118671	0.02382126190891375	3.2748394584756574E-4	4.2710888377258316E-4	0.5631295325262365
7	request	2.7817309241297657E-4	9.452609047009627E-5	2.8219648096680205E-4	3.38633262382449E-4	4.3490305063937403E-4	1.4542840497353107E-4	2.7856547992162174E-4	2.3616451402393678E-4	3.08008875703511E-4	0.9976034007485057
8	trace	4.2563530555461774E-4	1.446352738545678E-4	4.317915308085329E-4	5.181459890848413E-4	6.654493115772332E-4	2.225213914483629E-4	4.2623570142932024E-4	3.6135757853424555E-4	4.7128732253142423E-4	0.9963329405951769
9	swagger	2.0277930597231735E-4	6.890650298176874E-5	2.0571222781434246E-4	2.4685284018452155E-4	0.22823023321223693	1.0601266561545423E-4	2.030653439423635E-4	1.7215639310637186E-4	0.7394024835663356	0.031161797941810166
10	menu	0.001050321327568966	3.5691003745631946E-4	0.7987044031621887	0.12890082829257085	0.0016420996924935926	5.491061484525915E-4	0.001051802897786368	8.917060372109867E-4	0.0011629747810102888	0.06568984762326142
11	request	2.7817309241297657E-4	9.452609047009627E-5	2.8219648096680205E-4	3.38633262382449E-4	4.3490305063937403E-4	1.4542840497353107E-4	2.7856547992162174E-4	2.3616451402393678E-4	3.08008875703511E-4	0.9976034007485057
12	trace	5.116322537671753E-4	1.7385792524898854E-4	5.190323057841358E-4	6.228341416144149E-4	7.998991780215149E-4	2.67480445189537E-4	5.12353955868758E-4	4.3436761450137953E-4	5.665079749069567E-4	0.9955920342050971
13	user	2.6689664334998925E-4	9.069423658709415E-5	2.707569336843059E-4	3.249059075863214E-4	4.172731567652679E-4	1.3953309717517332E-4	0.008374778394033663	2.265909888142359E-4	2.955229577892713E-4	0.9895930476842146
14	cookie	0.16850915150172374	1.446352738545678E-4	4.317915308085329E-4	5.181459890848413E-4	6.654493115772332E-4	2.225213914483629E-4	4.2623570142932024E-4	3.6135757853424555E-4	4.7128732253142423E-4	0.8282494243990077
15	permission	1.4544197267885283E-4	0.12817383372380892	1.4754558939837777E-4	1.7705339243401748E-4	2.273877644324267E-4	7.603680830311234E-5	1.4564713131880915E-4	1.2347791261345465E-4	1.6104152309026295E-4	0.8706225341819217
16	web	3.010695667332479E-4	1.0230654897623767E-4	0.09176116774402751	3.6650622352643543E-4	0.1742366128779499	1.573986416022092E-4	0.10090281223696647	2.5560325514660683E-4	3.3336113839645034E-4	0.631583161766675
17	command	3.248360659034502E-4	1.1038265091418056E-4	3.2953436974760973E-4	3.954383070705443E-4	0.21759347436961315	1.6982372569695692E-4	3.2529427562284573E-4	2.757806334756665E-4	0.7798943930938981	5.810425080574449E-4
18	demo	9.058181679008497E-4	3.078063710106646E-4	9.189195732775022E-4	0.0011026952990340645	0.0014161796927497185	4.7356014994540693E-4	9.070959037562661E-4	7.690251618541435E-4	0.24864688951192487	0.7445520101685466
19	http	2.8295506087998887E-4	9.615105275533009E-5	2.87047613985382E-4	3.44454578774152E-4	0.1981345316749284	1.4792840970353162E-4	2.8335419377395113E-4	2.402243289014057E-4	0.12924296832920845	0.6709403847570894
20	oauth	1.8991130005316509E-4	6.453382163745775E-5	1.9265810400982404E-4	2.3118800795017305E-4	0.08683079556881491	9.92852946832793E-5	1.901791865739102E-4	1.6123166153728796E-4	2.1028046064903573E-4	0.9118299365940908
21	mobile	5.366540032026894E-4	1.8236057419445195E-4	5.44415960173872E-4	6.53294300677122E-4	8.390188321456588E-4	2.805617719220733E-4	5.374110006732015E-4	4.5561068026380786E-4	5.94213461605598E-4	0.9953764594151415
22	open	6.411783179261693E-4	2.1787901612631277E-4	6.504520743593593E-4	7.805366927649723E-4	0.001002434865468337	3.3520690038985437E-4	6.420827560966117E-4	5.443501545825831E-4	7.099486550507751E-4	0.994475930567235
23	oauth	2.626379659638938E-4	0.08784878325577386	2.664366604274488E-4	3.197216181779596E-4	4.106150297306366E-4	1.3730666810475394E-4	2.630084398161498E-4	2.229754397093684E-4	2.9080751093459186E-4	0.9099777074113613
